Date,gross_return,net_return,turnover,costs,equity
2010-01-31,0.0,0.0,0.0,0.0,1.0
2010-02-28,0.0,0.0,0.0,0.0,1.0
2010-03-31,0.0,0.0,0.0,0.0,1.0
2010-04-30,0.0,0.0,0.0,0.0,1.0
2010-05-31,0.0,0.0,0.0,0.0,1.0
2010-06-30,0.0,0.0,0.0,0.0,1.0
2010-07-31,0.0,0.0,0.0,0.0,1.0
2010-08-31,0.0,0.0,0.0,0.0,1.0
2010-09-30,0.0,0.0,0.0,0.0,1.0
2010-10-31,0.0,0.0,0.0,0.0,1.0
2010-11-30,0.0,0.0,0.0,0.0,1.0
2010-12-31,0.0,0.0,0.0,0.0,1.0
2011-01-31,0.0,0.0,2.0,0.0,1.0
2011-02-28,0.07896011413554355,0.07896011413554355,1.0,0.0,1.0789601141355436
2011-03-31,-0.013525340527889007,-0.013525340527889007,1.0,0.0,1.0643668111758504
2011-04-30,0.014230902466981832,0.014230902466981832,1.5,0.0,1.0795137114547864
2011-05-31,0.051602236026322745,0.051602236026322745,1.0,0.0,1.135219032786928
2011-06-30,0.07632236220788613,0.07632236220788613,2.0,0.0,1.221861630992578
2011-07-31,-0.010531908767733966,-0.010531908767733966,2.0,0.0,1.2089930957681696
2011-08-31,0.04723449491069895,0.04723449491069895,2.0,0.0,1.2660992739973014
2011-09-30,0.06890865505604685,0.06890865505604685,1.5,0.0,1.353344472135893
2011-10-31,-0.09126576104441375,-0.09126576104441375,1.0,0.0,1.2298304589311602
2011-11-30,0.05546586264460232,0.05546586264460232,2.0,0.0,1.298044066242384
2011-12-31,0.0225654430504158,0.0225654430504158,1.5,0.0,1.3273350056961069
2012-01-31,-0.21916876539826016,-0.21916876539826016,1.0,0.0,1.0364246312277985
2012-02-29,0.025549147010427486,0.025549147010427486,0.5,0.0,1.0629043964962654
2012-03-31,-0.09287102156425503,-0.09287102156425503,0.5,0.0,0.9641913793685194
2012-04-30,0.14346923819775623,0.14346923819775623,1.0,0.0,1.1025231820433647
2012-05-31,0.04871326277509566,0.04871326277509566,0.5,0.0,1.1562306835258778
2012-06-30,0.004470936616602084,0.004470936616602084,0.5,0.0,1.1614001176260924
2012-07-31,0.030456337777493014,0.030456337777493014,1.0,0.0,1.196772111903333
2012-08-31,0.021104167789044087,0.021104167789044087,1.0,0.0,1.2220289913581894
2012-09-30,0.004079043543383537,0.004079043543383537,1.5,0.0,1.2270137008252164
2012-10-31,0.07337661115061836,0.07337661115061836,1.5,0.0,1.3170478080271497
2012-11-30,0.025733616719811253,0.025733616719811253,1.0,0.0,1.350940211520588
2012-12-31,-0.03282345367852035,-0.03282345367852035,0.5,0.0,1.3065976880652914
2013-01-31,-0.015309045900283813,-0.015309045900283813,0.0,0.0,1.2865949240854953
2013-02-28,-0.0019623997750426447,-0.0019623997750426447,1.5,0.0,1.284070110495899
2013-03-31,0.017473829836634036,0.017473829836634036,1.0,0.0,1.306507733105012
2013-04-30,-0.050761398534894975,-0.050761398534894975,1.0,0.0,1.2401875733759462
2013-05-31,-0.07352593687997208,-0.07352593687997208,1.5,0.0,1.1490016201365807
2013-06-30,-0.00928070256700303,-0.00928070256700303,0.5,0.0,1.1383380778510885
2013-07-31,0.06690826849350456,0.06690826849350456,0.5,0.0,1.214502307600329
2013-08-31,-0.014781307130516369,-0.014781307130516369,1.5,0.0,1.1965503759809677
2013-09-30,-0.034075470973013555,-0.034075470973013555,1.0,0.0,1.1557773583764799
2013-10-31,0.021857170728873304,0.021857170728873304,2.0,0.0,1.1810393814230808
2013-11-30,0.003634610990946141,0.003634610990946141,1.0,0.0,1.1853320001395415
2013-12-31,0.007288995177065549,0.007288995177065549,1.5,0.0,1.1939718793717802
2014-01-31,-0.03405261908606755,-0.03405261908606755,2.0,0.0,1.1533140097640568
2014-02-28,0.044515981504179125,0.044515981504179125,1.5,0.0,1.2046549148912242
2014-03-31,-0.013684371706453785,-0.013684371706453785,1.0,0.0,1.1881699692578462
2014-04-30,-0.08912878328466523,-0.08912878328466523,1.0,0.0,1.0822698255625163
2014-05-31,0.041680493013766445,0.041680493013766445,2.5,0.0,1.127379365465885
2014-06-30,0.03142856398580693,0.03142856398580693,1.0,0.0,1.1628112799897081
2014-07-31,0.02392628204937816,0.02392628204937816,2.0,0.0,1.1906330306449404
2014-08-31,0.051968258000505,0.051968258000505,1.5,0.0,1.2525081551654198
2014-09-30,-0.006127632690688695,-0.006127632690688695,1.0,0.0,1.244833245248474
2014-10-31,0.0008481142179701251,0.0008481142179701251,1.5,0.0,1.2458890060227712
2014-11-30,0.03441634307196856,0.03441634307196856,1.0,0.0,1.2887679494836448
2014-12-31,0.03400232144474946,0.03400232144474946,1.0,0.0,1.3325890515696786
2015-01-31,0.018447880971198344,0.018447880971198344,1.5,0.0,1.357172495776558
2015-02-28,-0.033458487812705884,-0.033458487812705884,0.5,0.0,1.3117635563668786
2015-03-31,0.04476068240924072,0.04476068240924072,2.0,0.0,1.3704789883094326
2015-04-30,-0.038631937927974036,-0.038631937927974036,0.5,0.0,1.3175347291014698
2015-05-31,0.11983235623630589,0.11983235623630589,0.5,0.0,1.475418020112862
2015-06-30,-0.007863555062550015,-0.007863555062550015,0.5,0.0,1.463815989271426
2015-07-31,0.06378886845003251,0.06378886845003251,1.0,0.0,1.5571911548461153
2015-08-31,0.050071969034312214,0.050071969034312214,1.5,0.0,1.6351627821320749
2015-09-30,0.02631914503350377,0.02631914503350377,1.0,0.0,1.6781988685483966
2015-10-31,-0.06669886634878458,-0.06669886634878458,1.0,0.0,1.5662649065084056
2015-11-30,0.04704894796698711,0.04704894796698711,1.5,0.0,1.6399560225972374
2015-12-31,-0.021144478847836212,-0.021144478847836212,1.0,0.0,1.6052800071660485
2016-01-31,-0.06513124846726429,-0.06513124846726429,1.5,0.0,1.500726116159785
2016-02-29,-0.05036120470113212,-0.05036120470113212,1.5,0.0,1.425147741023527
2016-03-31,-0.08087703261655343,-0.08087703261655343,1.0,0.0,1.3098860206893597
2016-04-30,-0.05784329370893243,-0.05784329370893243,1.0,0.0,1.2341178988694004
2016-05-31,0.06325801551652421,0.06325801551652421,1.0,0.0,1.3121857480653012
2016-06-30,0.07230315958280006,0.07230315958280006,1.0,0.0,1.4070609236099425
2016-07-31,0.10475649376421303,0.10475649376421303,0.5,0.0,1.5544596924799554
2016-08-31,0.024852179110339045,0.024852179110339045,0.5,0.0,1.5930914031772698
2016-09-30,0.05361645888540187,0.05361645888540187,0.5,0.0,1.678507322896411
2016-10-31,0.040516974470675676,0.040516974470675676,1.5,0.0,1.746515361247047
2016-11-30,0.04290772870215823,0.04290772870215823,1.5,0.0,1.8214543685415872
2016-12-31,0.06176434729354513,0.06176434729354513,1.0,0.0,1.9339553087395347
2017-01-31,-0.1348420698364427,-0.1348420698364427,1.0,0.0,1.6731767719379191
2017-02-28,0.07037545349918212,0.07037545349918212,1.5,0.0,1.7909273460473478
2017-03-31,-0.0074296729819918195,-0.0074296729819918195,1.0,0.0,1.7776213415317095
2017-04-30,-0.037743349224043765,-0.037743349224043765,1.0,0.0,1.710527958450165
2017-05-31,0.04852706288530931,0.04852706288530931,1.0,0.0,1.793534856256956
2017-06-30,0.037935287752298485,0.037935287752298485,1.0,0.0,1.861573117122841
2017-07-31,0.06621532961351992,0.06621532961351992,1.5,0.0,1.9848377946727975
2017-08-31,0.007667138550749325,0.007667138550749325,0.5,0.0,2.0000558210453176
2017-09-30,-0.029792107370171905,-0.029792107370171905,1.0,0.0,1.9404699432783983
2017-10-31,-0.01700764641658245,-0.01700764641658245,0.5,0.0,1.9074671166011135
2017-11-30,-0.10876702185721501,-0.10876702185721501,2.0,0.0,1.6999975990378413
2017-12-31,-0.0462422817175078,-0.0462422817175078,1.0,0.0,1.6213858311440466
2018-01-31,0.04305878102519031,0.04305878102519031,1.0,0.0,1.6912007286046242
2018-02-28,0.04543450155417175,0.04543450155417175,1.0,0.0,1.7680395907368274
2018-03-31,0.02872634439667332,0.02872634439667332,0.5,0.0,1.8188289049272865
2018-04-30,0.0036903755381495207,0.0036903755381495207,0.0,0.0,1.8255410666261094
2018-05-31,0.019474003845999677,0.019474003845999677,1.0,0.0,1.8610916603786167
2018-06-30,-0.03794536480025276,-0.03794536480025276,1.5,0.0,1.790471858398842
2018-07-31,-0.05748024929856302,-0.05748024929856302,1.5,0.0,1.6875550896160152
2018-08-31,0.0892966283440535,0.0892966283440535,1.5,0.0,1.8382480692635723
2018-09-30,-0.036963868245612375,-0.036963868245612375,2.0,0.0,1.7702993098285622
2018-10-31,-0.1984477785291959,-0.1984477785291959,1.5,0.0,1.4189873444613152
2018-11-30,-0.0008926943939667198,-0.0008926943939667198,2.0,0.0,1.417720622413805
2018-12-31,-0.05087642660567018,-0.05087642660567018,1.5,0.0,1.345592063220224
2019-01-31,0.10162038886927047,0.10162038886927047,2.0,0.0,1.482331651944067
2019-02-28,-0.027335307670627362,-0.027335307670627362,1.5,0.0,1.4418116601682667
2019-03-31,-0.013380413218464088,-0.013380413218464088,0.0,0.0,1.4225196243720155
2019-04-30,-0.20167963272061185,-0.20167963272061185,1.0,0.0,1.1356263889908047
2019-05-31,0.1364269876658837,0.1364269876658837,2.0,0.0,1.2905564763547053
2019-06-30,-0.011117269694027543,-0.011117269694027543,1.5,0.0,1.276209011951696
2019-07-31,-0.03782860328685256,-0.03782860328685256,2.0,0.0,1.2279318075274692
2019-08-31,0.04912225017954794,0.04912225017954794,2.0,0.0,1.288250580980258
2019-09-30,-0.009130983139921584,-0.009130983139921584,2.0,0.0,1.2764875866453331
2019-10-31,-0.05639593237511642,-0.05639593237511642,1.5,0.0,1.2044988790312074
2019-11-30,-0.002970988527711327,-0.002970988527711327,1.5,0.0,1.2009203266799644
2019-12-31,0.04984632317744181,0.04984632317744181,1.5,0.0,1.2607817893940128
2020-01-31,0.06618689083290685,0.06618689083290685,1.0,0.0,1.3442290160527512
2020-02-29,0.09119121830107152,0.09119121830107152,0.5,0.0,1.4668108977022523
2020-03-31,0.0753906894417295,0.0753906894417295,0.0,0.0,1.5773947825606673
2020-04-30,-0.044521000284993506,-0.044521000284993506,1.5,0.0,1.5071675889967366
2020-05-31,0.06392905038690572,0.06392905038690572,0.5,0.0,1.6035193817352202
2020-06-30,0.10597267971569041,0.10597267971569041,1.0,0.0,1.7734486275937487
2020-07-31,0.17298848935457278,0.17298848935457278,0.0,0.0,2.0802348266291317
2020-08-31,0.12431481352269902,0.12431481352269902,1.0,0.0,2.3388388311849564
2020-09-30,0.015368501668767964,0.015368501668767964,1.0,0.0,2.3747832796650017
2020-10-31,-0.02856004842376203,-0.02856004842376203,0.5,0.0,2.3069593542018287
2020-11-30,-0.1054153988365793,-0.1054153988365793,0.0,0.0,2.0637703137788654
2020-12-31,-0.025982681391714557,-0.025982681391714557,1.0,0.0,2.0101480272502705
2021-01-31,-0.06250906722118468,-0.06250906722118468,0.5,0.0,1.8844955490903517
2021-02-28,-0.21533268188449692,-0.21533268188449692,0.5,0.0,1.4787020685053285
2021-03-31,-0.08113994451875267,-0.08113994451875267,2.5,0.0,1.3587202647070413
2021-04-30,0.02171981470260867,0.02171981470260867,1.0,0.0,1.3882314170891579
2021-05-31,0.022215711454937975,0.022215711454937975,1.0,0.0,1.4190719656838902
2021-06-30,0.04155230358722459,0.04155230358722459,1.5,0.0,1.4780376748141066
2021-07-31,-0.06462697718108087,-0.06462697718108087,1.5,0.0,1.3825165677311175
2021-08-31,0.06291405537965852,0.06291405537965852,2.0,0.0,1.4694962916366485
2021-09-30,-0.02101950661146529,-0.02101950661146529,1.5,0.0,1.4386082046190682
2021-10-31,0.026788227908321194,0.026788227908321194,2.0,0.0,1.4771459690751845
2021-11-30,-0.1415842756696485,-0.1415842756696485,1.5,0.0,1.2680053269853335
2021-12-31,-0.0668462820885666,-0.0668462820885666,2.0,0.0,1.1832438852078668
2022-01-31,-0.07615174574712799,-0.07615174574712799,2.5,0.0,1.0931377977046735
2022-02-28,-0.03905839980373904,-0.03905839980373904,1.5,0.0,1.0504415845613455
2022-03-31,0.0996405704398805,0.0996405704398805,1.0,0.0,1.15510818326081
2022-04-30,-0.02110728732793446,-0.02110728732793446,1.5,0.0,1.1307269829418758
2022-05-31,-0.022998880145789685,-0.022998880145789685,1.5,0.0,1.1047215285835852
2022-06-30,0.04089097959482088,0.04089097959482088,1.0,0.0,1.1498946740668559
2022-07-31,-0.09478560244809944,-0.09478560244809944,1.0,0.0,1.040901214633568
2022-08-31,0.002806777502901009,0.002806777502901009,1.0,0.0,1.043822792745544
2022-09-30,0.14101729265535712,0.14101729265535712,0.0,0.0,1.1910198569904744
2022-10-31,0.05674174651296521,0.05674174651296521,1.0,0.0,1.2586004038077359
2022-11-30,-0.1144681648450149,-0.1144681648450149,1.0,0.0,1.1145307253106698
2022-12-31,0.05658902023417722,0.05658902023417722,1.0,0.0,1.1776009270768875
2023-01-31,-0.21600204939774983,-0.21600204939774983,0.5,0.0,0.9232367134555897
2023-02-28,-0.010804531582920024,-0.010804531582920024,0.5,0.0,0.9132615732265474
2023-03-31,-0.13366793340722785,-0.13366793340722785,1.5,0.0,0.7911877860731212
2023-04-30,0.09261204804418643,0.09261204804418643,2.0,0.0,0.8644613073288986
2023-05-31,0.05295672613592628,0.05295672613592628,1.0,0.0,0.9102403480362199
2023-06-30,0.0669530218180644,0.0669530218180644,1.5,0.0,0.9711836899179715
2023-07-31,-0.014615107069258504,-0.014615107069258504,1.5,0.0,0.9569897363059029
2023-08-31,0.1583403970307394,0.1583403970307394,0.5,0.0,1.1085198711069222
2023-09-30,-0.07196419984920438,-0.07196419984920438,0.5,0.0,1.0287461255657693
2023-10-31,0.005378124551361135,0.005378124551361135,1.0,0.0,1.0342788503607923
2023-11-30,0.06532394784124274,0.06532394784124274,1.5,0.0,1.101842028035061
2023-12-31,0.018837486837996298,0.018837486837996298,2.0,0.0,1.1225979627357225
2024-01-31,0.12783448278225987,0.12783448278225987,2.5,0.0,1.2661046926744624
2024-02-29,0.0789057070503062,0.0789057070503062,1.0,0.0,1.3660075786496513
2024-03-31,0.03571872195532694,0.03571872195532694,0.5,0.0,1.4147996235403077
2024-04-30,-0.022770316526300377,-0.022770316526300377,0.5,0.0,1.3825841882910044
2024-05-31,0.07381824734566028,0.07381824734566028,1.0,0.0,1.4846441298784687
2024-06-30,0.1662964393086198,0.1662964393086198,0.5,0.0,1.731535162317702
2024-07-31,-0.08735141041141664,-0.08735141041141664,1.0,0.0,1.5802831237122896
2024-08-31,0.13282647439226625,0.13282647439226625,1.0,0.0,1.7901865595765907
2024-09-30,-0.04872347665765972,-0.04872347665765972,1.0,0.0,1.7029624465282045
2024-10-31,0.054103549075549956,0.054103549075549956,2.0,0.0,1.7950987588277618
2024-11-30,-0.02725334829171619,-0.02725334829171619,1.5,0.0,1.7461763071354013
2024-12-31,0.18427895320467913,0.18427895320467913,1.0,0.0,2.0679598491251254
2025-01-31,0.06237439720177393,0.06237439720177393,1.0,0.0,2.1969475981517763
2025-02-28,-0.04880611333979826,-0.04880611333979826,0.0,0.0,2.089723124674783
2025-03-31,-0.05480372768967018,-0.05480372768967018,2.0,0.0,1.9751985076032996
2025-04-30,0.15430549784695832,0.15430549784695832,1.5,0.0,2.2799824966655957
2025-05-31,0.032335762785638406,0.032335762785638406,1.0,0.0,2.353707469833182
2025-06-30,-0.0993510612818986,-0.0993510612818986,1.0,0.0,2.119864134758123
2025-07-31,0.02861853656466143,0.02861853656466143,1.5,0.0,2.1805315440108126
2025-08-31,-0.11466394522409609,-0.11466394522409609,1.0,0.0,1.9305031944889433
2025-09-30,0.0858349432721924,0.0858349432721924,1.0,0.0,2.096207826674688
2025-10-31,0.0024413894340425957,0.0024413894340425957,0.5,0.0,2.1013254863142885
2025-11-30,-0.009195946142181527,-0.009195946142181527,1.0,0.0,2.082001810314949
2025-12-31,-0.11876700393675599,-0.11876700393675599,0.5,0.0,1.8347286931129403
